"order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","country","city","state","postal_code","region","product_id","category","sub_category","product_name","sales","quantity","discount","profit","profit_margin"
"US-2015-108966","2015-10-11","2015-10-18","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","957.578",5,"0.45","-383.0310","-0.4000"
"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter","68.810",5,"0.80","-123.8580","-1.8000"
"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders","2.544",3,"0.80","-3.8160","-1.5000"
"US-2015-150630","2015-09-17","2015-09-21","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems","9.618",2,"0.70","-7.0532","-0.7333"
"US-2015-150630","2015-09-17","2015-09-21","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","6.858",6,"0.70","-5.7150","-0.8333"
"CA-2016-117590","2016-12-08","2016-12-10","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp  Black","190.920",5,"0.60","-147.9630","-0.7750"
"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","532.399",3,"0.32","-46.9764","-0.0882"
"US-2017-118038","2017-12-09","2017-12-11","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders","1.248",3,"0.80","-1.9344","-1.5500"
"US-2017-118038","2017-12-09","2017-12-11","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","FUR-FU-10000260","Furniture","Furnishings","6 Cubicle Wall Clock  Black","9.708",3,"0.60","-5.8248","-0.6000"
"US-2014-147606","2014-11-26","2014-12-01","Second Class","JE-15745","Joel Eaton","Consumer","United States","Houston","Texas","77070","Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak","19.300",5,"0.60","-14.4750","-0.7500"
